ID,MES,FK_ID_SEMESTRE
1,Enero,1
2,Febrero,1
3,Marzo,1
4,Abril,1
5,Mayo,1
6,Junio,1
7,Julio,2
8,Agosto,2
9,Septiembre,2
10,Octubre,2
11,Noviembre,2
12,Diciembre,2
13,Enero,3
14,Febrero,3
15,Marzo,3
16,Abril,3
17,Mayo,3
18,Junio,3
19,Julio,4
20,Agosto,4
21,Septiembre,4
22,Octubre,4
23,Noviembre,4
24,Diciembre,4
25,Enero,5
26,Febrero,5
27,Marzo,5
28,Abril,5
29,Mayo,5
30,Junio,5
31,Julio,6
32,Agosto,6
33,Septiembre,6
34,Octubre,6
35,Noviembre,6
36,Diciembre,6
37,Enero,7
38,Febrero,7
39,Marzo,7
40,Abril,7
41,Mayo,7
42,Junio,7
43,Julio,8
44,Agosto,8
45,Septiembre,8
46,Octubre,8
47,Noviembre,8
48,Diciembre,8
